"SiteID","wsArea","pctSili","pctBasa","pctGran","pctCarb","majGeol","elev"
653,0.829099999999493,0,0.00615543748787581,0.993844562512124,0,"granitic",819.942626953125
654,2.58680000000058,0,0.167602696540669,0.832397303459331,0,"granitic",805.816528320312
655,4.29100000000079,0,0.357118228226288,0.642881771773712,0,"granitic",792.612915039062
656,4.97600000000079,0,0.385789053181968,0.614210946818032,0,"granitic",772.889282226562
657,5.30190000000109,0,0.41580154729785,0.58419845270215,0,"granitic",754.751892089844
658,10.4209000000006,0,0.649863814787848,0.350136185212152,0,"basaltic",725.336669921875
659,11.3308000000006,0,0.649235016675249,0.350764983324751,0,"basaltic",704.218383789062
660,12.3011000000002,0,0.609041499450993,0.390958500549007,0,"basaltic",684.033081054688
661,13.0984000000002,0,0.571969125152448,0.428030874847552,0,"basaltic",667.262512207031
662,1.15710000000084,0,0.0264439345615113,0.973556065438489,0,"granitic",819.809814453125
663,0.74780000000031,0,0.992063041045181,0.00793695895481893,0,"basaltic",806.465881347656
664,1.11270000000031,0.991148790420952,0.00885120957904819,0,0,"siliciclastic",568.798278808594
665,1.28380000000031,0.946269656803606,0.0537303431963938,0,0,"siliciclastic",521.077209472656
666,1.51930000000007,0.884657005691563,0.115342994308437,0,0,"siliciclastic",468.445587158203
667,1.70060000000037,0.980886344886357,0.0158151237394743,0.00329853137416862,0,"siliciclastic",494.683502197266
668,3.86600000000038,0.842820368135307,0.0186655249071858,0.138514106957508,0,"siliciclastic",479.177886962891
669,4.37809999999979,0.861205441449709,0.0164822455611327,0.122312312989159,0,"siliciclastic",463.096099853516
670,4.74710000000026,0.871994173961167,0.0152010531253154,0.112804772913517,0,"siliciclastic",448.573608398438
671,5.17060000000026,0.882478540829119,0.0139560049687051,0.103565454202176,0,"siliciclastic",431.519714355469
672,5.50290000000014,0.889575231825239,0.0131132528832395,0.097311515291521,0,"siliciclastic",415.127288818359
673,1.2673999999995,0,1,0,0,"basaltic",679.002075195312
674,5.58830000000055,0.0117601725234836,0.988239827476516,0,0,"basaltic",654.693176269531
675,5.98590000000056,0.0221371936749636,0.977862806325036,0,0,"basaltic",629.358276367188
676,6.56180000000056,0.0776083747485296,0.92239162525147,0,0,"basaltic",607.718383789062
677,6.83150000000056,0.0810097448439479,0.918990255156052,0,0,"basaltic",584.728698730469
678,0.955300000000228,0,1,0,0,"basaltic",786.853820800781
679,3.45570000000008,0,1,0,0,"basaltic",712.363098144531
680,3.90550000000055,0,1,0,0,"basaltic",679.123718261719
681,1.33970000000027,0.570686142492736,0.0337879524220417,0.395525905085223,0,"siliciclastic",520.208129882812
682,1.82600000000039,0.685020933788342,0.0247895508542221,0.290189515357435,0,"siliciclastic",494.594909667969
683,0.83369999999996,0.712551505305003,0.287448494694997,0,0,"siliciclastic",624.934875488281
684,5.50869999999979,0.1801430811022,0.8198569188978,0,0,"basaltic",595.6494140625
685,6.66559999999962,0.265636890102382,0.734363109897618,0,0,"basaltic",571.111694335938
686,6.95879999999962,0.2647440041563,0.727715908017526,0.00754008782617352,0,"basaltic",550.8828125
687,7.9628000000001,0.284527133508043,0.679364068910284,0.0361087975816722,0,"basaltic",535.273315429688
688,8.40210000000009,0.284270466899548,0.661098396582336,0.0546311365181161,0,"basaltic",519.708984375
689,9.17280000000009,0.30729898360562,0.636393596477685,0.0563074199166943,0,"basaltic",503.168395996094
690,9.5467000000001,0.310195412933976,0.635702467861287,0.054102119204737,0,"basaltic",486.350006103516
691,9.7532000000001,0.307347083711046,0.639696276272153,0.0529566400168006,0,"basaltic",468.620910644531
692,1.18120000000055,1,0,0,0,"siliciclastic",518.379577636719
693,1.47900000000031,0.995823125541805,0,0.0041768744581955,0,"siliciclastic",497.783905029297
694,2.54429999999995,0.676639168622789,0.00558634070623041,0.31777449067098,0,"siliciclastic",481.548492431641
695,0.724299999999923,1,0,0,0,"siliciclastic",431.568115234375
696,4.73980000000014,0.884281924099986,0.00454201645553921,0.111176059444475,0,"siliciclastic",406.968292236328
697,5.21159999999966,0.89475774500136,0.00413083306392771,0.101111421934712,0,"siliciclastic",389.494110107422
698,5.60700000000013,0.902179322962211,0.00383953087140441,0.0939811461663845,0,"siliciclastic",368.618408203125
699,6.06620000000013,0.891328231255941,0.00354888556196054,0.0868669490875555,0.018255934094543,"siliciclastic",350.110412597656
700,6.44490000000014,0.869483299665727,0.00334035432605092,0.0817626784829777,0.0454136675252441,"siliciclastic",331.308013916016
701,0.983499999999785,0,0.866652603763058,0.133347396236942,0,"basaltic",645.484069824219
702,2.5228999999999,0,0.889384647640167,0.110615352359833,0,"basaltic",559.006408691406
703,3.48520000000037,0,0.778334864321929,0.22166513567807,0,"basaltic",508.084686279297
704,4.04880000000037,0,0.777864036567056,0.222135963432944,0,"basaltic",465.958709716797
705,4.17520000000014,0,0.784588980468641,0.21541101953136,0,"basaltic",423.406707763672
706,18.8249000000015,0,0.877820198360894,0.122179801639106,0,"basaltic",409.755187988281
707,19.1963000000015,0,0.86805381538167,0.13194618461833,0,"basaltic",400.242309570312
708,20.2757000000024,0,0.868127581704022,0.131872418295978,0,"basaltic",386.868896484375
709,21.1049000000015,0,0.852093926534262,0.147906073465739,0,"basaltic",366.134399414062
710,21.6004000000015,0,0.849318929146551,0.150681070853449,0,"basaltic",352.178588867188
711,24.1975000000015,0,0.830960248566714,0.169039751433286,0,"basaltic",333.549407958984
712,24.5947000000015,0,0.817540389380373,0.182459610619627,0,"basaltic",315.368499755859
713,0.89560000000021,0,1,0,0,"basaltic",898.985778808594
714,0.993899999999852,0,1,0,0,"basaltic",861.140808105469
715,3.84340000000036,0,1,0,0,"basaltic",828.311706542969
716,4.28370000000012,0,1,0,0,"basaltic",787.708923339844
717,4.43150000000084,0,1,0,0,"basaltic",755.151977539062
718,1.65099999999939,0,1,0,0,"basaltic",910.862487792969
719,1.85149999999987,0,1,0,0,"basaltic",885.108276367188
720,2.48369999999964,0,1,0,0,"basaltic",860.219177246094
721,1.15339999999995,0,1,0,0,"basaltic",900.610229492188
722,1.56739999999983,0,1,0,0,"basaltic",864.873474121094
723,1.92680000000031,0,1,0,0,"basaltic",827.079772949219
724,2.33499999999984,0,1,0,0,"basaltic",785.55126953125
725,2.85319999999951,0.0552261781117342,0.944773821888266,0,0,"basaltic",670.557983398438
726,2.89669999999957,0.0543968417124311,0.945603158287569,0,0,"basaltic",656.590087890625
727,4.0502999999993,0.0695990893180118,0.930400910681988,0,0,"basaltic",639.712829589844
728,4.35309999999954,0.0696960427723376,0.930303957227662,0,0,"basaltic",623.93408203125
729,1.55669999999934,0.647664587813412,0.0138294145281453,0.338505997658443,0,"siliciclastic",511.219604492188
730,2.11859999999967,0.741111802062257,0.0101615451694351,0.248726652768308,0,"siliciclastic",489.373413085938
731,2.66699999999953,0.79434550575519,0.00807208458791358,0.197582409656896,0,"siliciclastic",468.591400146484
732,3.09140000000014,0.822578593468709,0.00696391589440467,0.170457490636886,0,"siliciclastic",444.745788574219
733,3.35340000000014,0.836440467540159,0.0064198275171356,0.157139704942705,0,"siliciclastic",431.153686523438
734,1.17760000000061,0,1,0,0,"basaltic",749.996215820312
735,1.27870000000037,0,1,0,0,"basaltic",645.532287597656
736,0.863899999999774,0.997415616601235,0,0,0.00258438339876491,"siliciclastic",399.640411376953
737,0.970599999999714,0.917536515444192,0,0,0.0824634845558081,"siliciclastic",367.179901123047
738,1.50819999999969,0.763033624131976,0,0,0.236966375868024,"siliciclastic",336.269897460938
739,0.729899999999893,0.0497275828515011,0.950272417148499,0,0,"basaltic",657.074890136719
740,0.743900000000685,0,1,0,0,"basaltic",400.452301025391
